timestamp,created_at_temperatura,context_temperatura,temperatura,date (America/Guatemala)
1730249179673,1730249179673,{},24.8,2024-10-29 18:46:19.673000-06:00
1730249167423,1730249167423,{},24.8,2024-10-29 18:46:07.423000-06:00
1730249155357,1730249155357,{},24.8,2024-10-29 18:45:55.357000-06:00
1730249142960,1730249142960,{},24.8,2024-10-29 18:45:42.960000-06:00
1730249130120,1730249130120,{},24.8,2024-10-29 18:45:30.120000-06:00
1730249117816,1730249117816,{},24.8,2024-10-29 18:45:17.816000-06:00
1730249105637,1730249105637,{},24.9,2024-10-29 18:45:05.637000-06:00
1730249093342,1730249093342,{},25.3,2024-10-29 18:44:53.342000-06:00
1730249081055,1730249081055,{},25.3,2024-10-29 18:44:41.055000-06:00
1730249068766,1730249068766,{},25.3,2024-10-29 18:44:28.766000-06:00
1730249056473,1730249056473,{},25.3,2024-10-29 18:44:16.473000-06:00
1730249044185,1730249044185,{},25.3,2024-10-29 18:44:04.185000-06:00
1730249032002,1730249032002,{},25.8,2024-10-29 18:43:52.002000-06:00
1730249019711,1730249019711,{},25.8,2024-10-29 18:43:39.711000-06:00
1730249007428,1730249007428,{},25.8,2024-10-29 18:43:27.428000-06:00
1730248995135,1730248995135,{},25.8,2024-10-29 18:43:15.135000-06:00
1730248982959,1730248982959,{},26.2,2024-10-29 18:43:02.959000-06:00
1730248970664,1730248970664,{},26.2,2024-10-29 18:42:50.664000-06:00
1730248958375,1730248958375,{},26.2,2024-10-29 18:42:38.375000-06:00
1730248946196,1730248946196,{},26.2,2024-10-29 18:42:26.196000-06:00
1730248933931,1730248933931,{},26.7,2024-10-29 18:42:13.931000-06:00
1730248921635,1730248921635,{},26.7,2024-10-29 18:42:01.635000-06:00
1730248909346,1730248909346,{},26.2,2024-10-29 18:41:49.346000-06:00
1730248897044,1730248897044,{},25.8,2024-10-29 18:41:37.044000-06:00
1730248884750,1730248884750,{},25.8,2024-10-29 18:41:24.750000-06:00
1730248872388,1730248872388,{},24.8,2024-10-29 18:41:12.388000-06:00
1730248860086,1730248860086,{},24.8,2024-10-29 18:41:00.086000-06:00
1730248847789,1730248847789,{},24.8,2024-10-29 18:40:47.789000-06:00
1730248835601,1730248835601,{},24.8,2024-10-29 18:40:35.601000-06:00
1730248823307,1730248823307,{},24.8,2024-10-29 18:40:23.307000-06:00
1730248811024,1730248811024,{},24.8,2024-10-29 18:40:11.024000-06:00
1730248798835,1730248798835,{},24.8,2024-10-29 18:39:58.835000-06:00
1730248786552,1730248786552,{},24.8,2024-10-29 18:39:46.552000-06:00
1730248774258,1730248774258,{},24.5,2024-10-29 18:39:34.258000-06:00
1730248761971,1730248761971,{},24.5,2024-10-29 18:39:21.971000-06:00
1730248749687,1730248749687,{},24.5,2024-10-29 18:39:09.687000-06:00
1730248737399,1730248737399,{},24.5,2024-10-29 18:38:57.399000-06:00
